Activity(app or site),"ActivityType(0 - app, 1 - website)",CategoryID,Parent_name,Category_name,Full_name
check-mot.service.gov.uk,1,10,Business,Operations,Business - Operations
secure.amboybank.com,1,10,Business,Operations,Business - Operations
zcrm.zoho.e,0,10,Business,Operations,Business - Operations
eYACHO,0,10,Business,Operations,Business - Operations
safesite.safeco.com,1,10,Business,Operations,Business - Operations
secure.agriexpo.online,1,10,Business,Operations,Business - Operations
plus.carrier.com,1,10,Business,Operations,Business - Operations
gigafile.n,0,10,Business,Operations,Business - Operations
backoffice.saladmaster.com,1,10,Business,Operations,Business - Operations
Bentley.Connect.Client for Windows,0,10,Business,Operations,Business - Operations
apclassroom.collegeboard.org,1,10,Business,Operations,Business - Operations
mkpes.adquira.com,1,10,Business,Operations,Business - Operations
parts.jcb.com,1,10,Business,Operations,Business - Operations
automann.com,1,10,Business,Operations,Business - Operations
Hyper ????st??? ??a?e???s,0,10,Business,Operations,Business - Operations
dias.oneview.truist.com,1,10,Business,Operations,Business - Operations
docs.jamf.com,1,10,Business,Operations,Business - Operations
ww2.remotedepositnow.com,1,10,Business,Operations,Business - Operations
access.fda.go,0,10,Business,Operations,Business - Operations
consular.mfaservices.nl,1,10,Business,Operations,Business - Operations
magento.stackexchange.com,1,10,Business,Operations,Business - Operations
MiniTool Power Data Recovery,0,10,Business,Operations,Business - Operations
bentley.com,1,10,Business,Operations,Business - Operations
ecomm.one-line.com,1,10,Business,Operations,Business - Operations
etrackcoi.com,1,10,Business,Operations,Business - Operations
idmportal.homedepot.com,1,10,Business,Operations,Business - Operations
abap.es,1,10,Business,Operations,Business - Operations
Representative Console 22.2.2 (3087-1d8542da51e0a5b20954e0a324023846367e17cb),1,10,Business,Operations,Business - Operations
zojirushi.com,1,10,Business,Operations,Business - Operations
instacart.ca,1,10,Business,Operations,Business - Operations
ny.newnycontracts.com,1,10,Business,Operations,Business - Operations
utmostinternational.com,1,10,Business,Operations,Business - Operations
samedayappliancerepair.com,1,10,Business,Operations,Business - Operations
support.atera.com,1,10,Business,Operations,Business - Operations
htj-ocr.dx-suite.com,1,10,Business,Operations,Business - Operations
trafag.com,1,10,Business,Operations,Business - Operations
online.bdo.com.ph,1,10,Business,Operations,Business - Operations
mcmaster.com,1,10,Business,Operations,Business - Operations
araujoappt.as.me,1,10,Business,Operations,Business - Operations
nationalcprfoundation.com,1,10,Business,Operations,Business - Operations
solutioncenter.yaskawa.com,1,10,Business,Operations,Business - Operations
ebayar.melaka.gov.my,1,10,Business,Operations,Business - Operations
rdc.tdcommercialbanking.com,1,10,Business,Operations,Business - Operations
Opera GX,1,10,Business,Operations,Business - Operations
ciceksepeti.com,1,10,Business,Operations,Business - Operations
manabeat.com,1,10,Business,Operations,Business - Operations
sps.mesago.com,1,10,Business,Operations,Business - Operations
zalo.me,1,10,Business,Operations,Business - Operations
fidelitydesktop.com,1,10,Business,Operations,Business - Operations
piitil.myfloridacfo.go,0,10,Business,Operations,Business - Operations
foragents.travelers.com,1,10,Business,Operations,Business - Operations
mssinc.jp,1,10,Business,Operations,Business - Operations
login.transicold.com,1,10,Business,Operations,Business - Operations
safer.fmcsa.dot.go,0,10,Business,Operations,Business - Operations
wallex.ir,1,10,Business,Operations,Business - Operations
reichandwise.com,1,10,Business,Operations,Business - Operations
convertio.co,1,10,Business,Operations,Business - Operations
b4g.baydin.com,1,10,Business,Operations,Business - Operations
bttaxpayerportal.com,1,10,Business,Operations,Business - Operations
print.stamps.com,1,10,Business,Operations,Business - Operations
controlio-hc-s3.heartcore.co.jp,1,10,Business,Operations,Business - Operations
secure.alteccapital.com,1,10,Business,Operations,Business - Operations
biz.q-pass.jp,1,10,Business,Operations,Business - Operations
app.memrise.com,1,10,Business,Operations,Business - Operations
continuityoak.org.uk,1,10,Business,Operations,Business - Operations
console.signifyd.com,1,10,Business,Operations,Business - Operations
form.loanapp.com.a,0,10,Business,Operations,Business - Operations
computermania.co.za,1,10,Business,Operations,Business - Operations
echo360.net.a,0,10,Business,Operations,Business - Operations
Operator,1,10,Business,Operations,Business - Operations
cbre.coupahost.com,1,10,Business,Operations,Business - Operations
SCENE Capture,0,10,Business,Operations,Business - Operations
SoftphoneIntegrations,0,10,Business,Operations,Business - Operations
pandapodhotels.com,1,10,Business,Operations,Business - Operations
cateringsoftware.com,1,10,Business,Operations,Business - Operations
burkert.com,1,10,Business,Operations,Business - Operations
JUST PDF 3 [??],0,10,Business,Operations,Business - Operations
Microsoft Dynamics NAV Classic Client executable for SQL server,1,10,Business,Operations,Business - Operations
platform.cloudways.com,1,10,Business,Operations,Business - Operations
redlion.com,1,10,Business,Operations,Business - Operations
hotstar.com,1,10,Business,Operations,Business - Operations
vinted.co.uk,1,10,Business,Operations,Business - Operations
experology.com,1,10,Business,Operations,Business - Operations
EPSON Status Monitor,0,10,Business,Operations,Business - Operations
pep.zendesk.com,1,10,Business,Operations,Business - Operations
ntl-naigai.co.jp,1,10,Business,Operations,Business - Operations
app.gettimely.com,1,10,Business,Operations,Business - Operations
mexicocrossborder.com,1,10,Business,Operations,Business - Operations
saxotrader.com,1,10,Business,Operations,Business - Operations
printful.com,1,10,Business,Operations,Business - Operations
bol.rwbaird.com,1,10,Business,Operations,Business - Operations
bisonfilters.activehosted.com,1,10,Business,Operations,Business - Operations
es.farnell.com,1,10,Business,Operations,Business - Operations
classifieds.fishingkaki.com,1,10,Business,Operations,Business - Operations
booking.avianca.com,1,10,Business,Operations,Business - Operations
truckinginfo.com,1,10,Business,Operations,Business - Operations
RemoteDesktopManagerFree,0,10,Business,Operations,Business - Operations
ziruma.com,1,10,Business,Operations,Business - Operations
passport.service.gov.uk,1,10,Business,Operations,Business - Operations
build.com,1,10,Business,Operations,Business - Operations
khftbank.allocate-cloud.com,1,10,Business,Operations,Business - Operations
cgsmsp.service-now.com,1,10,Business,Operations,Business - Operations
biz.alibaba.com,1,10,Business,Operations,Business - Operations
insuranceonline.nrma.com.a,0,10,Business,Operations,Business - Operations
lotuss.com.my,1,10,Business,Operations,Business - Operations
Sistema de Facturaci? para Transporte 1.05Ws,1,10,Business,Operations,Business - Operations
r-agent.com,1,10,Business,Operations,Business - Operations
TAX22.EXE,1,10,Business,Operations,Business - Operations
ryansg.epaypolicy.com,1,10,Business,Operations,Business - Operations
vedacheck.com,1,10,Business,Operations,Business - Operations
wwi.delta.sellercloud.com,1,10,Business,Operations,Business - Operations
regulatoryu.com,1,10,Business,Operations,Business - Operations
haloboard.myfreshworks.com,1,10,Business,Operations,Business - Operations
brazosbid.ionwave.net,1,10,Business,Operations,Business - Operations
swp.on-trac.co.uk,1,10,Business,Operations,Business - Operations
lambdatest.com,1,10,Business,Operations,Business - Operations
za.casewarecloud.com,1,10,Business,Operations,Business - Operations
api.payu.in,1,10,Business,Operations,Business - Operations
uline.com,1,10,Business,Operations,Business - Operations
riverside.courts.ca.go,0,10,Business,Operations,Business - Operations
nssi.bg,1,10,Business,Operations,Business - Operations
eu1.documents.adobe.com,1,10,Business,Operations,Business - Operations
Cash Management,0,10,Business,Operations,Business - Operations
pickup.bring.org,1,10,Business,Operations,Business - Operations
bonitete.bisnode.si,1,10,Business,Operations,Business - Operations
account.venmo.com,1,10,Business,Operations,Business - Operations
carrysquad.com,1,10,Business,Operations,Business - Operations
members.upn.co.uk,1,10,Business,Operations,Business - Operations
exclusiv.hideagifts.com,1,10,Business,Operations,Business - Operations
onemedicalpassport.com,1,10,Business,Operations,Business - Operations
RemoteDesktopManager,0,10,Business,Operations,Business - Operations
amtrak.com,1,10,Business,Operations,Business - Operations
metalmarketplace.com,1,10,Business,Operations,Business - Operations
Juris Suite,0,10,Business,Operations,Business - Operations
spareroom.co.uk,1,10,Business,Operations,Business - Operations
dashboard.ninjavan.co,1,10,Business,Operations,Business - Operations
oktaxrolls.com,1,10,Business,Operations,Business - Operations
lightnovelreader.me,1,10,Business,Operations,Business - Operations
revenue.ie,1,10,Business,Operations,Business - Operations
map.naver.com,1,10,Business,Operations,Business - Operations
yosansrv.jrcad.jrc.co.jp,1,10,Business,Operations,Business - Operations
mypassword.ihg.com,1,10,Business,Operations,Business - Operations
onecallnv.undergroundservicealert.org,1,10,Business,Operations,Business - Operations
carvana.com,1,10,Business,Operations,Business - Operations
fulfillment-help.shiphero.com,1,10,Business,Operations,Business - Operations
cma-cgm.com,1,10,Business,Operations,Business - Operations
MouseJiggler,0,10,Business,Operations,Business - Operations
bizratings.com,1,10,Business,Operations,Business - Operations
in.bookmyshow.com,1,10,Business,Operations,Business - Operations
direct3.imagedepositgateway.com,1,10,Business,Operations,Business - Operations
statementsui.oreillyauto.com,1,10,Business,Operations,Business - Operations
foundit.sg,1,10,Business,Operations,Business - Operations
enq.minsitu.net,1,10,Business,Operations,Business - Operations
callthecar.mygo1.com,1,10,Business,Operations,Business - Operations
kosaf.go.kr,1,10,Business,Operations,Business - Operations
qnectu.itglue.com,1,10,Business,Operations,Business - Operations
v01.densan.ca,1,10,Business,Operations,Business - Operations
dbc.qatouch.com,1,10,Business,Operations,Business - Operations
loft-enet.com,1,10,Business,Operations,Business - Operations
land.com,1,10,Business,Operations,Business - Operations
podio.com,1,10,Business,Operations,Business - Operations
SumatraPDF,0,10,Business,Operations,Business - Operations
himFixd,0,10,Business,Operations,Business - Operations
agriaffaires.co.uk,1,10,Business,Operations,Business - Operations
mc.sendgrid.com,1,10,Business,Operations,Business - Operations
DocuWorks Tray,0,10,Business,Operations,Business - Operations
Aper,0,10,Business,Operations,Business - Operations
powerdolly.co,1,10,Business,Operations,Business - Operations
IT,0,10,Business,Operations,Business - Operations
onlinejobs.ph,1,10,Business,Operations,Business - Operations
losangelespartybuses.com,1,10,Business,Operations,Business - Operations
centresuite.arvest.com,1,10,Business,Operations,Business - Operations
navigator.sunstateequip.com,1,10,Business,Operations,Business - Operations
learn.leaponline.com,1,10,Business,Operations,Business - Operations
CCViewer,1,10,Business,Operations,Business - Operations
dwagent,1,10,Business,Operations,Business - Operations
convertir-unidades.info,1,10,Business,Operations,Business - Operations
us02.procore.com,1,10,Business,Operations,Business - Operations
irctc.co.in,1,10,Business,Operations,Business - Operations
primehealthvms.einstein2.org,1,10,Business,Operations,Business - Operations
guide-epargne.be,1,10,Business,Operations,Business - Operations
AppliedSystems.TAM.Reports,0,10,Business,Operations,Business - Operations
fastersolutions.com,1,10,Business,Operations,Business - Operations
www1.secure.hsbcnet.com,1,10,Business,Operations,Business - Operations
excelsior.com.mx,1,10,Business,Operations,Business - Operations
notams.aim.faa.go,0,10,Business,Operations,Business - Operations
ProStructures CONNECT Edition,0,10,Business,Operations,Business - Operations
ArchiveXpress,0,10,Business,Operations,Business - Operations
razlozhi.r,0,10,Business,Operations,Business - Operations
productresources.collibra.com,1,10,Business,Operations,Business - Operations
tlo.com,1,10,Business,Operations,Business - Operations
Inspection Search,0,10,Business,Operations,Business - Operations
ats.hrtech.rikunabi.com,1,10,Business,Operations,Business - Operations
dhl.de,1,10,Business,Operations,Business - Operations
cardwell.transactiongateway.com,1,10,Business,Operations,Business - Operations
std-gpa.stateauto.com,1,10,Business,Operations,Business - Operations
draft.premierleague.com,1,10,Business,Operations,Business - Operations
ecmpcb.in,1,10,Business,Operations,Business - Operations
securemail.progyny.com,1,10,Business,Operations,Business - Operations
jdsn.deere.com,1,10,Business,Operations,Business - Operations
PDF24 DocTool,0,10,Business,Operations,Business - Operations
netteller.com,1,10,Business,Operations,Business - Operations
regus.com,1,10,Business,Operations,Business - Operations
xodo.com,1,10,Business,Operations,Business - Operations
mo.metrc.com,1,10,Business,Operations,Business - Operations
onepass.lendingsvcs.com,1,10,Business,Operations,Business - Operations
dentontx.ionwave.net,1,10,Business,Operations,Business - Operations
homedepot.com.mx,1,10,Business,Operations,Business - Operations
purchase.hondaeg.co.jp,1,10,Business,Operations,Business - Operations
Pushbullet,0,10,Business,Operations,Business - Operations
secure.getinbank.pl,1,10,Business,Operations,Business - Operations
Sistema de Facturaci? para Transporte 1.05Wx,1,10,Business,Operations,Business - Operations
DriveWorks Standalone Data Management Tool,0,10,Business,Operations,Business - Operations
regional.dev-newageproducts.com,1,10,Business,Operations,Business - Operations
eclps.libertymutual.com,1,10,Business,Operations,Business - Operations
americanexpress.com,1,10,Business,Operations,Business - Operations
vaqaaksencoder.cms.radvcdat.com,1,10,Business,Operations,Business - Operations
usnc.resdiary.com,1,10,Business,Operations,Business - Operations
vendorcentral.amazon.ca,1,10,Business,Operations,Business - Operations
sdxapp2020.export.com.gt,1,10,Business,Operations,Business - Operations
komoot.com,1,10,Business,Operations,Business - Operations
teslamerchwhm.gwspromoweb.com.a,0,10,Business,Operations,Business - Operations
price4limo.com,1,10,Business,Operations,Business - Operations
gochikuru.com,1,10,Business,Operations,Business - Operations
weadown.com,1,10,Business,Operations,Business - Operations
saasant.com,1,10,Business,Operations,Business - Operations
expedia.ie,1,10,Business,Operations,Business - Operations
ontime.jast.co.jp,1,10,Business,Operations,Business - Operations
noridianmedicareportal.com,1,10,Business,Operations,Business - Operations
dependablepaint.net,1,10,Business,Operations,Business - Operations
otodom.pl,1,10,Business,Operations,Business - Operations
Bentley.Staad for Windows,0,10,Business,Operations,Business - Operations
portal.accessone80.com,1,10,Business,Operations,Business - Operations
tulsa.parishsoftfamilysuite.com,1,10,Business,Operations,Business - Operations
directpay.irs.go,0,10,Business,Operations,Business - Operations
JcEntDbF,0,10,Business,Operations,Business - Operations
secure.newportgroup.com,1,10,Business,Operations,Business - Operations
testlab.tokyo,1,10,Business,Operations,Business - Operations
ktester.ketshopweb.com,1,10,Business,Operations,Business - Operations
s.rexmart.jp,1,10,Business,Operations,Business - Operations
onlinebanking.53.com,1,10,Business,Operations,Business - Operations
www31.pointclickcare.com,1,10,Business,Operations,Business - Operations
help.klaviyo.com,1,10,Business,Operations,Business - Operations
TODO   File description,0,10,Business,Operations,Business - Operations
shelterpoint.com,1,10,Business,Operations,Business - Operations
hbmPurc,0,10,Business,Operations,Business - Operations
faithful-to-nature.co.za,1,10,Business,Operations,Business - Operations
learning.paylocity.com,1,10,Business,Operations,Business - Operations
central.smarsh.com,1,10,Business,Operations,Business - Operations
campus.datacamp.com,1,10,Business,Operations,Business - Operations
ONYX Job Editor 21.0.1 (2021012209) Patch Build,1,10,Business,Operations,Business - Operations
WorkSpaces,0,10,Business,Operations,Business - Operations
stockcharts.com,1,10,Business,Operations,Business - Operations
foundit.in,1,10,Business,Operations,Business - Operations
deliverit.e-courier.com,1,10,Business,Operations,Business - Operations
purchasingpower.com,1,10,Business,Operations,Business - Operations
mar.dsdwebordering.com,1,10,Business,Operations,Business - Operations
importer.transactionpro.com,1,10,Business,Operations,Business - Operations
safetyrailcompany.com,1,10,Business,Operations,Business - Operations
hkinventory.com,1,10,Business,Operations,Business - Operations
rlcarriers.com,1,10,Business,Operations,Business - Operations
e-tekerlek.com,1,10,Business,Operations,Business - Operations
tidio.com,1,10,Business,Operations,Business - Operations
latamairlines.com,1,10,Business,Operations,Business - Operations
nemcsa.org,1,10,Business,Operations,Business - Operations
occubanking.org,1,10,Business,Operations,Business - Operations
VPS3_,0,10,Business,Operations,Business - Operations
collect-operation.nissen.co.jp,1,10,Business,Operations,Business - Operations
us3516.amerinoc.com,1,10,Business,Operations,Business - Operations
wholesale.apmex.com,1,10,Business,Operations,Business - Operations
global.honda,1,10,Business,Operations,Business - Operations
rex.fecca.com,1,10,Business,Operations,Business - Operations
daysoftheyear.com,1,10,Business,Operations,Business - Operations
auth.pekininsurance.us,1,10,Business,Operations,Business - Operations
noon.com,1,10,Business,Operations,Business - Operations
files.brokercheck.finra.org,1,10,Business,Operations,Business - Operations
simulcast.manheim.com,1,10,Business,Operations,Business - Operations
affiliate-one.smsassist.com,1,10,Business,Operations,Business - Operations
fuelprice.io,1,10,Business,Operations,Business - Operations
boscoauto.it,1,10,Business,Operations,Business - Operations
app.pluralsight.com,1,10,Business,Operations,Business - Operations
donoreggbank.com,1,10,Business,Operations,Business - Operations
magrath.sharefile.com,1,10,Business,Operations,Business - Operations
Cligal,0,10,Business,Operations,Business - Operations
transglobalexpress.co.uk,1,10,Business,Operations,Business - Operations
LEAP Desktop,0,10,Business,Operations,Business - Operations
commerce.health.state.ny.us,1,10,Business,Operations,Business - Operations
cybozu.com,1,10,Business,Operations,Business - Operations
Printix Client,0,10,Business,Operations,Business - Operations
baseconnect.in,1,10,Business,Operations,Business - Operations
scope-ext.toyota-shokki.co.jp,1,10,Business,Operations,Business - Operations
amazon.com.a,0,10,Business,Operations,Business - Operations
eastwest.bankonline.com,1,10,Business,Operations,Business - Operations
ALPHACAM,0,10,Business,Operations,Business - Operations
storz-bickel.com,1,10,Business,Operations,Business - Operations
Splashtop Business,0,10,Business,Operations,Business - Operations
epay-cl.travelers.com,1,10,Business,Operations,Business - Operations
pk.indeed.com,1,10,Business,Operations,Business - Operations
